"","consent1","consent2","consent3","freediscount","paydiscount","fakeemail","likely1","likely2","likely3","likely4","annoyed1","annoyed2","annoyed3","annoyed4","control","reasonable1","reasonable2","reasonable3","reasonable4","reasonable5","reasonable6","reasonable7","reasonable8","reasonable9","comfortable1","comfortable2","comfortable3","comfortable4","comfortable5","comfortable6","comfortable7","comfortable8","comfortable9","ac","comfortable10","gender","age","comments","Condition","annoyed","likely","likelyy","annoyedsum","likelysum","likelysumm","discount","female","female2","discount2"
"4","Yes","Yes","Yes",0,100,7,7,7,7,7,7,7,7,7,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,7,"Somewhat flexible",0,"Male",60,"","2",7,7,7,28,28,28,100,0,0,100
"5","Yes","Yes","Yes",0,5,5,5,6,5,5,5,6,5,6,5,7,6,5,6,7,6,6,6,6,6,6,5,6,6,5,6,7,7,"Somewhat flexible",5,"Male",30,"","2",5.5,5.25,5.25,22,21,21,5,0,0,5
"6","Yes","Yes","Yes",20,0,7,7,7,7,4,7,7,7,7,1,7,7,4,1,1,4,1,1,1,7,7,4,1,1,4,1,1,1,"Somewhat flexible",0,"Female",28,"","1",7,6.25,6.25,28,25,25,20,1,1,20
"7","Yes","Yes","Yes",200,0,5,6,6,4,5,6,6,4,5,6,4,6,6,5,6,5,7,5,4,6,6,7,4,6,6,5,6,5,"Somewhat flexible",6,"Male",29,"","1",5.25,5.25,5.25,21,21,21,200,0,0,200
"8","Yes","Yes","Yes",0,3,7,7,6,5,6,5,6,6,7,7,7,6,7,6,7,6,5,6,5,6,6,5,7,7,6,5,6,6,"Somewhat flexible",6,"Female",34,"","2",6,6,6,24,24,24,3,1,1,3
"9","Yes","Yes","Yes",0,45,3,6,5,5,4,2,2,4,3,4,4,5,5,2,1,4,3,1,3,2,4,5,2,1,2,1,3,3,"Somewhat flexible",5,"Male",33,"","2",2.75,5,5,11,20,20,45,0,0,45
"10","Yes","Yes","Yes",50,0,7,6,4,7,5,7,6,4,5,6,5,4,5,6,6,5,6,5,7,6,5,5,5,7,4,6,4,6,"Somewhat flexible",7,"Male",18,"","1",5.5,5.5,5.5,22,22,22,50,0,0,50
"11","Yes","Yes","Yes",0,100,1,7,7,7,7,1,1,7,7,1,7,7,7,7,1,7,1,1,7,7,7,7,7,1,7,1,7,7,"Somewhat flexible",7,"Female",34,"","2",4,7,7,16,28,28,100,1,1,100
"12","Yes","Yes","Yes",0,50,5,5,5,5,4,4,5,5,4,5,4,5,5,4,5,4,4,4,5,5,4,5,4,4,4,5,4,5,"Somewhat flexible",5,"Male",29,"","2",4.5,4.75,4.75,18,19,19,50,0,0,50
"13","Yes","Yes","Yes",50,0,2,7,7,5,5,5,5,7,7,1,6,7,7,6,1,7,1,7,7,4,5,7,5,1,4,1,7,7,"Somewhat flexible",4,"Male",47,"","1",6,6,6,24,24,24,50,0,0,50
"14","Yes","Yes","Yes",75,0,4,7,6,5,4,5,5,7,7,1,4,5,6,5,1,4,1,1,4,4,5,5,3,1,4,1,4,6,"Somewhat flexible",3,"Male",58,"","1",6,5.5,5.5,24,22,22,75,0,0,75
"15","Yes","Yes","Yes",10,0,2,7,7,7,7,1,1,3,3,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,"Somewhat flexible",6,"Male",38,"","1",2,7,7,8,28,28,10,0,0,10
"16","Yes","Yes","Yes",0,100,2,2,3,5,6,4,6,5,6,6,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,"Somewhat flexible",2,"Male",28,"","2",5.25,4,4,21,16,16,100,0,0,100
"17","Yes","Yes","Yes",0,5,6,5,6,4,5,6,5,5,4,5,6,4,5,5,6,5,6,5,4,5,5,6,6,5,4,4,5,6,"Somewhat flexible",6,"Female",32,"","2",5,5,5,20,20,20,5,1,1,5
"18","Yes","Yes","Yes",300,0,5,5,5,4,6,4,4,5,3,4,4,5,5,3,4,5,3,2,4,4,3,3,4,5,4,3,4,4,"Somewhat flexible",4,"Male",40,"","1",4,5,5,16,20,20,300,0,0,300
"19","Yes","Yes","Yes",23,0,7,6,7,7,6,5,7,7,6,6,5,7,7,6,7,6,6,7,7,7,5,6,5,6,6,7,6,7,"Somewhat flexible",7,"Male",44,"","1",6.25,6.5,6.5,25,26,26,23,0,0,23
"20","Yes","Yes","Yes",15,0,1,7,7,7,7,7,7,7,7,1,2,2,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,"Somewhat flexible",0,"Male",35,"","1",7,7,7,28,28,28,15,0,0,15
"21","Yes","Yes","Yes",50,0,3,6,6,5,5,7,4,7,7,2,4,6,5,3,1,5,2,4,5,7,7,6,5,1,6,1,7,7,"Somewhat flexible",5,"Male",28,"","1",6.25,5.5,5.5,25,22,22,50,0,0,50
"22","Yes","Yes","Yes",0,5,7,5,7,3,4,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Somewhat flexible",7,"Male",58,"","2",6.5,4.75,4.75,26,19,19,5,0,0,5
"23","Yes","Yes","Yes",0,450,5,7,5,6,6,7,6,5,7,6,7,5,7,6,5,7,7,6,6,6,5,5,6,6,6,7,5,7,"Somewhat flexible",7,"Female",35,"","2",6.25,6,6,25,24,24,450,1,1,450
"24","Yes","Yes","Yes",10,0,7,6,6,7,5,5,6,7,6,7,6,5,7,5,7,6,6,7,6,7,7,6,6,5,6,6,5,7,"Somewhat flexible",7,"Male",43,"","1",6,6,6,24,24,24,10,0,0,10
"25","Yes","Yes","Yes",20,0,5,7,5,4,6,6,6,7,7,6,7,2,5,7,7,7,6,6,5,6,6,5,6,7,7,7,6,5,"Somewhat flexible",6,"Male",30,"","1",6.5,5.5,5.5,26,22,22,20,0,0,20
"26","Yes","Yes","Yes",500,0,5,5,5,5,6,6,6,5,6,5,5,5,5,6,6,6,6,5,6,7,6,6,6,7,7,7,5,6,"Somewhat flexible",5,"Female",40,"","1",5.75,5.25,5.25,23,21,21,500,1,1,500
"27","Yes","Yes","Yes",0,100,6,1,1,1,3,7,7,7,7,3,1,4,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,2,"Somewhat flexible",0,"Male",29,"","2",7,1.5,1.5,28,6,6,100,0,0,100
"28","Yes","Yes","Yes",50,0,7,6,7,7,6,7,6,6,7,7,7,6,6,6,7,6,7,6,6,6,6,6,6,7,7,7,6,7,"Somewhat flexible",7,"Female",49,"","1",6.5,6.5,6.5,26,26,26,50,1,1,50
"29","Yes","Yes","Yes",25,0,6,6,6,7,6,7,6,6,6,6,6,6,6,7,6,7,7,7,6,7,7,6,6,6,6,6,6,7,"Somewhat flexible",6,"Female",25,"","1",6.25,6.25,6.25,25,25,25,25,1,1,25
"30","Yes","Yes","Yes",0,495,7,6,6,7,7,6,6,7,7,7,7,7,7,7,7,6,7,6,6,7,6,6,7,7,7,7,7,6,"Somewhat flexible",7,"Male",43,"","2",6.5,6.5,6.5,26,26,26,495,0,0,495
"31","Yes","Yes","Yes",0,25,7,4,4,4,4,4,4,4,4,7,6,6,6,6,6,6,6,6,6,7,7,7,3,5,7,6,7,7,"Somewhat flexible",7,"Male",29,"","2",4,4,4,16,16,16,25,0,0,25
"32","Yes","Yes","Yes",0,10,4,4,6,4,5,5,6,4,5,3,6,4,6,4,4,5,6,5,6,6,4,5,2,4,2,7,5,4,"Somewhat flexible",5,"Female",54,"","2",5,4.75,4.75,20,19,19,10,1,1,10
"33","Yes","Yes","Yes",0,5,7,6,7,7,6,7,6,7,6,7,7,6,7,6,7,7,6,7,6,6,6,6,7,6,7,7,7,7,"Somewhat flexible",7,"Male",61,"","2",6.5,6.5,6.5,26,26,26,5,0,0,5
"34","Yes","Yes","Yes",0,5,6,5,6,5,6,7,6,5,6,6,7,6,6,7,7,7,5,7,7,7,5,5,6,5,5,6,7,7,"Somewhat flexible",5,"Male",30,"","2",6,5.5,5.5,24,22,22,5,0,0,5
"35","Yes","Yes","Yes",0,98,6,6,6,7,7,7,7,6,6,6,6,7,7,6,7,6,7,6,6,6,7,7,6,6,6,6,7,7,"Somewhat flexible",7,"Male",27,"","2",6.5,6.5,6.5,26,26,26,98,0,0,98
"36","Yes","Yes","Yes",0,500,6,5,6,6,5,5,6,6,6,6,7,6,5,5,6,6,6,6,5,6,7,7,5,6,5,6,6,7,"Somewhat flexible",7,"Female",25,"","2",5.75,5.5,5.5,23,22,22,500,1,1,500
"37","Yes","Yes","Yes",100,0,2,6,5,7,5,4,5,7,6,5,7,6,6,6,7,7,7,6,7,7,7,6,7,7,6,6,7,6,"Somewhat flexible",6,"Male",26,"","1",5.5,5.75,5.75,22,23,23,100,0,0,100
"38","Yes","Yes","Yes",200,0,6,5,6,6,7,7,5,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,5,7,6,"Somewhat flexible",6,"Male",30,"","1",6,6,6,24,24,24,200,0,0,200
"40","Yes","Yes","Yes",0,50,5,4,5,3,5,5,4,4,5,5,4,4,4,5,4,5,5,5,5,5,5,4,5,4,4,5,5,4,"Somewhat flexible",5,"Male",29,"","2",4.5,4.25,4.25,18,17,17,50,0,0,50
"41","Yes","Yes","Yes",1,0,3,2,1,1,1,4,4,6,5,4,6,3,7,4,5,3,5,2,4,4,4,5,5,3,6,4,5,7,"Somewhat flexible",4,"Male",30,"","1",4.75,1.25,1.25,19,5,5,1,0,0,1
"42","Yes","Yes","Yes",50,0,6,7,6,5,6,5,6,6,7,6,6,7,6,7,6,7,4,5,6,6,7,5,6,5,5,6,6,7,"Somewhat flexible",5,"Male",37,"","1",6,6,6,24,24,24,50,0,0,50
"43","Yes","Yes","Yes",0,3,6,6,6,5,4,5,6,5,6,6,6,6,5,6,7,5,6,6,6,5,6,5,6,6,6,7,5,6,"Somewhat flexible",6,"Male",28,"","2",5.5,5.25,5.25,22,21,21,3,0,0,3
"44","Yes","Yes","Yes",0,50,7,4,6,5,7,6,5,4,7,7,6,4,6,7,5,4,6,7,5,6,7,5,5,6,6,7,4,4,"Somewhat flexible",7,"Female",68,"","2",5.5,5.5,5.5,22,22,22,50,1,1,50
"45","Yes","Yes","Yes",25,0,6,7,5,6,6,5,6,7,5,6,7,7,5,7,4,6,3,6,6,6,7,5,7,4,7,6,3,4,"Somewhat flexible",7,"Male",52,"","1",5.75,6,6,23,24,24,25,0,0,25
"46","Yes","Yes","Yes",0,100,6,7,6,7,6,7,6,6,7,1,5,4,5,1,1,1,2,2,5,5,2,4,1,1,1,1,1,1,"Somewhat flexible",3,"Male",37,"","2",6.5,6.5,6.5,26,26,26,100,0,0,100
"47","Yes","Yes","Yes",100,0,1,7,7,5,6,1,1,7,7,7,7,7,6,6,1,6,4,1,4,7,7,7,7,1,5,1,1,1,"Somewhat flexible",2,"Female",48,"","1",4,6.25,6.25,16,25,25,100,1,1,100
"48","Yes","Yes","Yes",25,0,1,7,6,5,5,1,2,6,3,1,4,4,5,2,1,3,3,6,6,4,4,4,2,1,2,4,6,6,"Somewhat flexible",3,"Male",60,"","1",3,5.75,5.75,12,23,23,25,0,0,25
"49","Yes","Yes","Yes",0,100,4,5,4,5,4,5,5,4,3,5,6,6,5,6,5,6,5,6,5,5,6,7,7,5,6,6,6,6,"Somewhat flexible",6,"Male",27,"","2",4.25,4.5,4.5,17,18,18,100,0,0,100
"50","Yes","Yes","Yes",0,20,6,6,6,7,6,7,5,7,6,6,5,7,6,6,6,6,5,7,4,5,6,7,6,6,4,7,6,7,"Somewhat flexible",6,"Male",32,"","2",6.25,6.25,6.25,25,25,25,20,0,0,20
"51","Yes","Yes","Yes",0,3,7,6,5,5,7,7,5,6,6,7,5,6,6,6,5,6,7,6,7,5,7,6,7,6,7,6,6,5,"Somewhat flexible",7,"Female",34,"","2",6,5.75,5.75,24,23,23,3,1,1,3
"52","Yes","Yes","Yes",0,50,1,7,7,1,4,2,1,7,7,4,7,7,7,1,1,7,1,1,7,7,7,7,1,1,7,1,7,7,"Somewhat flexible",6,"Male",65,"","2",4.25,4.75,4.75,17,19,19,50,0,0,50
"53","Yes","Yes","Yes",450,0,1,6,4,5,3,6,5,5,6,5,6,7,4,2,2,5,4,5,6,6,6,6,2,3,4,4,6,7,"Somewhat flexible",5,"Male",25,"","1",5.5,4.5,4.5,22,18,18,450,0,0,450
"54","Yes","Yes","Yes",0,5,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Somewhat flexible",7,"Male",58,"","2",6.75,6.75,6.75,27,27,27,5,0,0,5
"55","Yes","Yes","Yes",200,0,2,4,2,5,3,3,5,7,7,5,3,3,5,6,2,5,2,2,2,4,5,5,4,2,5,2,4,4,"Somewhat flexible",4,"Male",32,"","1",5.5,3.5,3.5,22,14,14,200,0,0,200
"56","Yes","Yes","Yes",150,0,6,7,6,7,4,7,7,5,6,7,7,6,2,7,6,7,2,7,7,7,7,2,7,7,7,3,3,7,"Somewhat flexible",6,"Male",30,"","1",6.25,6,6,25,24,24,150,0,0,150
"57","Yes","Yes","Yes",0,90,7,5,7,6,7,6,5,7,7,7,7,6,7,6,7,7,6,7,4,7,6,6,7,5,7,6,6,7,"Somewhat flexible",7,"Male",32,"","2",6.25,6.25,6.25,25,25,25,90,0,0,90
"58","Yes","Yes","Yes",0,100,7,6,6,6,7,7,6,6,5,6,6,4,7,6,6,7,7,7,7,7,3,7,6,7,7,7,7,7,"Somewhat flexible",7,"Female",35,"","2",6,6.25,6.25,24,25,25,100,1,1,100
"59","Yes","Yes","Yes",100,0,6,5,6,7,6,6,6,7,5,6,5,7,7,6,6,6,7,5,7,6,7,5,6,6,6,7,7,6,"Somewhat flexible",6,"Male",40,"","1",6,6,6,24,24,24,100,0,0,100
"60","Yes","Yes","Yes",0,10,6,6,7,7,5,7,7,4,6,6,6,5,7,6,7,7,7,7,6,7,5,4,6,6,7,6,7,7,"Somewhat flexible",7,"Male",44,"","2",6,6.25,6.25,24,25,25,10,0,0,10
"61","Yes","Yes","Yes",0,100,5,7,5,6,6,5,7,5,6,6,7,7,6,5,6,5,5,7,7,7,7,5,6,7,5,7,5,6,"Somewhat flexible",5,"Male",36,"","2",5.75,6,6,23,24,24,100,0,0,100
"62","Yes","Yes","Yes",0,50,5,6,6,6,6,6,4,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Somewhat flexible",6,"Male",59,"","2",5,6,6,20,24,24,50,0,0,50
"63","Yes","Yes","Yes",70,0,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,7,7,6,7,6,7,6,6,7,7,"Somewhat flexible",6,"Female",49,"","1",6.75,6.5,6.5,27,26,26,70,1,1,70
"64","Yes","Yes","Yes",100,0,3,2,3,2,1,7,7,7,7,1,1,4,1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,"Somewhat flexible",2,"Male",29,"","1",7,2,2,28,8,8,100,0,0,100
"65","Yes","Yes","Yes",0,5,6,7,5,6,6,5,5,3,3,6,7,7,7,7,6,6,5,6,5,7,7,6,6,7,6,6,5,7,"Somewhat flexible",6,"Male",40,"","2",4,6,6,16,24,24,5,0,0,5
"66","Yes","Yes","Yes",50,0,6,7,6,4,5,5,7,4,6,6,5,5,5,4,6,4,6,6,7,7,6,7,7,6,6,7,7,7,"Somewhat flexible",6,"Male",58,"","1",5.5,5.5,5.5,22,22,22,50,0,0,50
"67","Yes","Yes","Yes",20,0,4,1,5,6,2,6,4,7,5,4,7,2,5,2,5,4,5,5,5,3,1,1,7,3,2,4,7,1,"Somewhat flexible",4,"Female",54,"","1",5.5,3.5,3.5,22,14,14,20,1,1,20
"68","Yes","Yes","Yes",500,0,6,4,6,5,5,5,4,5,6,5,5,5,4,5,4,6,5,6,4,5,6,6,4,6,4,5,5,5,"Somewhat flexible",5,"Female",32,"","1",5,5,5,20,20,20,500,1,1,500
"69","Yes","Yes","Yes",50,0,6,6,5,5,7,6,6,3,6,6,7,6,6,7,5,6,7,6,6,6,6,7,5,6,6,7,6,6,"Somewhat flexible",6,"Male",45,"","1",5.25,5.75,5.75,21,23,23,50,0,0,50
"70","Yes","Yes","Yes",300,0,4,4,5,5,3,6,4,3,5,5,3,4,7,5,4,5,6,6,6,6,5,4,3,4,5,5,6,7,"Somewhat flexible",5,"Male",65,"","1",4.5,4.25,4.25,18,17,17,300,0,0,300
"71","Yes","Yes","Yes",0,250,2,6,6,6,6,6,6,6,5,5,6,6,6,6,4,6,3,2,5,6,6,6,6,4,6,4,2,4,"Somewhat flexible",4,"Female",35,"","2",5.75,6,6,23,24,24,250,1,1,250
"72","Yes","Yes","Yes",25,0,3,5,5,7,6,6,7,6,6,6,5,6,6,6,4,6,6,6,7,6,6,6,5,4,6,5,6,7,"Somewhat flexible",6,"Male",26,"","1",6.25,5.75,5.75,25,23,23,25,0,0,25
"73","Yes","Yes","Yes",0,100,4,6,6,5,5,5,5,6,6,2,4,5,4,1,1,4,1,1,1,1,4,3,2,1,2,1,1,1,"Somewhat flexible",3,"Male",32,"","2",5.5,5.5,5.5,22,22,22,100,0,0,100
"75","Yes","Yes","Yes",100,0,5,5,5,4,5,6,5,5,4,5,5,6,6,5,6,5,5,6,5,6,4,4,6,5,6,6,5,5,"Somewhat flexible",5,"Male",40,"","1",5,4.75,4.75,20,19,19,100,0,0,100
"76","Yes","Yes","Yes",20,0,6,7,7,6,6,7,6,7,6,6,6,7,6,7,6,6,6,7,7,7,7,7,6,6,7,6,6,6,"Somewhat flexible",6,"Female",25,"","1",6.5,6.5,6.5,26,26,26,20,1,1,20
"77","Yes","Yes","Yes",75,0,3,7,6,6,7,7,5,6,6,5,6,6,7,5,6,7,6,7,6,7,6,7,7,6,7,6,6,6,"Somewhat flexible",6,"Male",27,"","1",6,6.5,6.5,24,26,26,75,0,0,75
"78","Yes","Yes","Yes",50,0,1,5,4,6,4,4,5,3,6,5,5,6,5,5,3,5,4,5,4,7,6,6,4,4,5,5,5,7,"Somewhat flexible",4,"Male",32,"","1",4.5,4.75,4.75,18,19,19,50,0,0,50
"79","Yes","Yes","Yes",400,0,6,5,6,6,5,6,6,6,7,6,7,6,6,5,6,6,5,6,6,6,6,6,5,6,5,7,6,6,"Somewhat flexible",7,"Female",25,"","1",6.25,5.5,5.5,25,22,22,400,1,1,400
"80","Yes","Yes","Yes",0,5,6,5,7,6,5,5,5,7,6,7,6,6,6,7,5,6,5,6,7,6,5,6,5,5,7,7,6,6,"Somewhat flexible",6,"Female",44,"","2",5.75,5.75,5.75,23,23,23,5,1,1,5
"81","Yes","Yes","Yes",250,0,4,5,6,4,4,7,4,5,7,4,4,4,6,6,5,6,5,5,7,6,3,5,5,5,4,5,5,3,"Somewhat flexible",4,"Male",38,"","1",5.75,4.75,4.75,23,19,19,250,0,0,250
"82","Yes","Yes","Yes",0,5,5,6,5,5,6,7,5,4,6,6,5,7,6,5,6,6,5,7,5,6,6,5,5,6,6,7,7,4,"Somewhat flexible",6,"Male",30,"","2",5.5,5.5,5.5,22,22,22,5,0,0,5
"83","Yes","Yes","Yes",10,0,6,6,6,5,7,5,6,6,7,6,5,6,5,5,7,6,6,7,6,7,6,7,6,5,6,5,6,5,"Somewhat flexible",7,"Female",34,"","1",6,6,6,24,24,24,10,1,1,10
"84","Yes","Yes","Yes",0,5,2,5,5,6,4,4,4,5,5,6,6,6,6,2,3,3,2,5,5,7,2,5,4,2,5,2,6,6,"Somewhat flexible",5,"Female",49,"","2",4.5,5,5,18,20,20,5,1,1,5
"85","Yes","Yes","Yes",25,0,1,6,7,5,5,2,3,4,4,3,6,6,6,6,3,5,4,4,6,6,7,7,6,3,7,3,4,6,"Somewhat flexible",5,"Female",26,"","1",3.25,5.75,5.75,13,23,23,25,1,1,25
"86","Yes","Yes","Yes",0,5,7,6,6,5,5,6,6,6,5,7,6,6,6,6,7,6,6,6,6,7,6,7,7,6,6,6,6,7,"Somewhat flexible",7,"Male",35,"","2",5.75,5.5,5.5,23,22,22,5,0,0,5
"87","Yes","Yes","Yes",0,5,7,7,6,6,7,7,6,6,7,7,7,6,6,6,6,7,7,7,6,6,7,7,6,6,7,6,7,6,"Somewhat flexible",7,"Male",61,"","2",6.5,6.5,6.5,26,26,26,5,0,0,5
