"","consent1","consent2","consent3","freediscount","paydiscount","fakeemail","likely1","likely2","likely3","likely4","annoyed1","annoyed2","annoyed3","annoyed4","control","reasonable1","reasonable2","reasonable3","reasonable4","reasonable5","reasonable6","reasonable7","reasonable8","reasonable9","comfortable1","comfortable2","comfortable3","comfortable4","comfortable5","comfortable6","comfortable7","comfortable8","comfortable9","ac","comfortable10","gender","age","comments","Condition","annoyed","likely","likelyy","annoyedsum","likelysum","likelysumm","discount","female","female2","discount2"
"88","Yes","Yes","Yes",50,0,4,1,2,2,1,2,2,2,6,3,2,2,5,1,1,1,2,5,6,1,2,2,1,1,2,1,4,2,"Somewhat flexible",4,"Male",28,"","1",3,1.5,1.5,12,6,6,50,0,0,50
"89","Yes","Yes","Yes",0,50,3,7,7,6,5,1,1,7,6,7,4,7,6,1,1,1,1,1,3,4,7,6,1,1,1,1,1,1,"Somewhat flexible",2,"Female",57,"","2",3.75,6.25,6.25,15,25,25,50,1,1,50
"90","Yes","Yes","Yes",0,90,7,5,7,6,6,5,7,6,6,6,7,7,6,7,6,6,5,6,5,6,6,7,5,6,6,5,5,7,"Somewhat flexible",7,"Female",55,"","2",6,6,6,24,24,24,90,1,1,90
"91","Yes","Yes","Yes",0,25,7,7,7,6,6,6,7,7,5,2,7,3,6,7,7,6,7,6,7,7,6,7,6,7,7,7,7,6,"Somewhat flexible",7,"Male",42,"","2",6.25,6.5,6.5,25,26,26,25,0,0,25
"92","Yes","Yes","Yes",5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,6,5,6,5,6,5,5,5,6,5,6,"Somewhat flexible",5,"Male",28,"","1",5,5,5,20,20,20,5,0,0,5
"93","Yes","Yes","Yes",40,0,1,6,6,5,5,6,7,6,6,5,7,7,5,6,4,6,4,4,7,7,6,6,6,4,6,4,4,7,"Somewhat flexible",6,"Male",58,"","1",6.25,5.5,5.5,25,22,22,40,0,0,40
"94","Yes","Yes","Yes",0,50,6,5,5,6,6,6,5,5,6,5,5,6,5,5,5,6,4,6,5,5,4,5,4,6,6,4,5,4,"Somewhat flexible",5,"Female",31,"","2",5.5,5.5,5.5,22,22,22,50,1,1,50
"95","Yes","Yes","Yes",0,20,6,7,6,7,6,7,7,7,7,1,6,4,7,1,1,1,1,1,1,4,2,7,2,1,1,1,6,7,"Somewhat flexible",3,"Male",26,"","2",7,6.5,6.5,28,26,26,20,0,0,20
"96","Yes","Yes","Yes",20,0,1,6,7,6,6,6,7,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Somewhat flexible",6,"Female",27,"","1",6.25,6.25,6.25,25,25,25,20,1,1,20
"97","Yes","Yes","Yes",0,50,3,4,5,5,5,4,6,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,"Somewhat flexible",5,"Female",28,"","2",4.75,4.75,4.75,19,19,19,50,1,1,50
"98","Yes","Yes","Yes",0,75,1,7,7,1,1,1,1,7,7,6,7,7,7,6,1,7,1,1,7,7,7,7,7,1,7,1,7,7,"Somewhat flexible",6,"Male",65,"","2",4,4,4,16,16,16,75,0,0,75
"99","Yes","Yes","Yes",20,0,6,6,7,6,7,6,7,6,7,6,6,7,6,6,6,7,7,6,7,7,6,7,6,7,7,6,6,6,"Somewhat flexible",6,"Female",25,"","1",6.5,6.5,6.5,26,26,26,20,1,1,20
"100","Yes","Yes","Yes",0,20,4,2,7,5,4,5,2,7,3,5,7,2,2,6,5,2,4,3,5,4,2,6,5,6,3,1,4,1,"Somewhat flexible",6,"Female",54,"","2",4.25,4.5,4.5,17,18,18,20,1,1,20
"101","Yes","Yes","Yes",50,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Somewhat flexible",6,"Male",59,"","1",5,5,5,20,20,20,50,0,0,50
"102","Yes","Yes","Yes",0,5,7,5,6,6,6,5,7,6,6,6,6,6,5,7,6,6,5,7,6,6,6,7,7,5,6,5,7,6,"Somewhat flexible",6,"Female",44,"","2",6,5.75,5.75,24,23,23,5,1,1,5
"103","Yes","Yes","Yes",40,0,5,6,6,7,6,5,6,6,5,5,6,7,6,5,5,6,6,6,5,7,7,6,6,5,6,5,7,5,"Somewhat flexible",6,"Male",37,"","1",5.5,6.25,6.25,22,25,25,40,0,0,40
"104","Yes","Yes","Yes",20,0,6,7,6,6,5,5,6,7,5,6,6,7,7,6,7,6,5,6,6,6,6,6,6,6,6,6,6,6,"Somewhat flexible",6,"Male",32,"","1",5.75,6,6,23,24,24,20,0,0,20
"105","Yes","Yes","Yes",0,3,3,3,4,6,5,4,4,3,6,5,6,1,4,4,3,3,2,7,2,6,6,4,3,4,1,2,4,1,"Somewhat flexible",5,"Male",43,"","2",4.25,4.5,4.5,17,18,18,3,0,0,3
"106","Yes","Yes","Yes",25,0,6,5,5,6,6,5,6,5,7,4,7,7,6,7,3,6,5,4,5,7,7,4,7,4,7,6,6,6,"Somewhat flexible",7,"Male",52,"","1",5.75,5.5,5.5,23,22,22,25,0,0,25
"107","Yes","Yes","Yes",500,0,1,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Somewhat flexible",5,"Male",30,"","1",5,5.25,5.25,20,21,21,500,0,0,500
"108","Yes","Yes","Yes",0,50,7,6,7,7,6,5,6,5,7,7,7,6,7,4,5,6,6,6,6,5,6,7,7,6,4,7,6,6,"Somewhat flexible",7,"Female",63,"","2",5.75,6.5,6.5,23,26,26,50,1,1,50
"109","Yes","Yes","Yes",30,0,7,6,7,7,6,6,7,7,6,7,6,6,7,6,7,7,6,7,7,6,6,6,7,7,7,7,6,7,"Somewhat flexible",7,"Female",42,"","1",6.5,6.5,6.5,26,26,26,30,1,1,30
"110","Yes","Yes","Yes",0,5,5,4,5,5,5,4,5,4,5,5,5,6,6,6,5,6,5,5,5,6,6,5,6,6,6,5,6,6,"Somewhat flexible",5,"Male",28,"","2",4.5,4.75,4.75,18,19,19,5,0,0,5
"111","Yes","Yes","Yes",0,50,6,6,5,5,6,6,6,5,5,6,6,5,5,6,4,6,6,6,6,6,6,5,5,6,6,6,6,6,"Somewhat flexible",7,"Male",26,"","2",5.5,5.5,5.5,22,22,22,50,0,0,50
"112","Yes","Yes","Yes",100,0,3,4,6,5,5,5,4,6,5,5,7,4,6,6,7,6,5,6,7,7,4,7,3,6,4,5,7,7,"Somewhat flexible",4,"Female",25,"","1",5,5,5,20,20,20,100,1,1,100
"113","Yes","Yes","Yes",0,99,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Somewhat flexible",7,"Female",25,"","2",7,7,7,28,28,28,99,1,1,99
"114","Yes","Yes","Yes",0,10,6,5,6,7,6,5,6,6,7,6,5,6,7,6,6,7,6,6,5,7,6,6,6,7,7,6,7,6,"Somewhat flexible",7,"Male",35,"","2",6,6,6,24,24,24,10,0,0,10
"115","Yes","Yes","Yes",25,0,1,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,7,7,6,5,6,6,6,6,6,"Somewhat flexible",7,"Male",29,"","1",6,6,6,24,24,24,25,0,0,25
"116","Yes","Yes","Yes",0,100,3,6,5,6,4,5,5,6,5,2,2,5,1,1,1,3,1,3,4,2,3,1,1,1,1,1,4,4,"Somewhat flexible",2,"Female",37,"","2",5.25,5.25,5.25,21,21,21,100,1,1,100
"117","Yes","Yes","Yes",50,0,7,7,6,7,7,7,6,6,6,7,7,7,6,6,6,7,7,7,6,6,5,7,6,6,5,7,6,7,"Somewhat flexible",7,"Male",29,"","1",6.25,6.75,6.75,25,27,27,50,0,0,50
"118","Yes","Yes","Yes",0,5,7,7,7,7,6,7,7,6,7,7,6,7,6,7,6,7,5,6,7,7,6,7,6,7,6,6,5,7,"Somewhat flexible",7,"Male",67,"","2",6.75,6.75,6.75,27,27,27,5,0,0,5
"119","Yes","Yes","Yes",0,100,7,6,6,5,7,7,6,5,6,7,7,4,7,7,7,7,7,7,6,7,1,7,7,7,7,7,7,7,"Somewhat flexible",0,"Female",35,"","2",6,6,6,24,24,24,100,1,1,100
"120","Yes","Yes","Yes",20,0,6,5,6,7,7,6,6,5,7,5,7,6,6,7,7,4,6,7,6,7,6,7,6,4,7,5,7,5,"Somewhat flexible",6,"Male",30,"","1",6,6.25,6.25,24,25,25,20,0,0,20
"121","Yes","Yes","Yes",0,5,7,5,3,7,7,6,4,5,7,7,6,7,7,5,4,6,4,7,5,3,5,4,6,5,6,6,7,7,"Somewhat flexible",7,"Male",49,"","2",5.5,5.5,5.5,22,22,22,5,0,0,5
"122","Yes","Yes","Yes",5,0,7,6,7,6,5,4,7,5,6,6,6,6,7,5,7,6,5,7,6,6,6,5,7,5,6,6,7,6,"Somewhat flexible",7,"Female",34,"","1",5.5,6,6,22,24,24,5,1,1,5
"123","Yes","Yes","Yes",100,0,7,7,6,7,7,4,4,7,7,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,"Somewhat flexible",0,"Male",25,"","1",5.5,6.75,6.75,22,27,27,100,0,0,100
"124","Yes","Yes","Yes",30,0,7,7,7,7,7,1,1,1,1,7,1,1,1,1,1,1,7,1,1,7,7,1,1,1,1,7,7,7,"Somewhat flexible",7,"Female",30,"","1",1,7,7,4,28,28,30,1,1,30
"125","Yes","Yes","Yes",0,100,2,7,6,4,4,6,5,7,7,2,5,6,6,3,1,6,2,4,4,4,4,5,2,1,4,2,5,6,"Somewhat flexible",2,"Female",25,"","2",6.25,5.25,5.25,25,21,21,100,1,1,100
"126","Yes","Yes","Yes",0,5,7,7,6,7,6,6,7,6,7,7,7,6,6,6,7,6,7,7,7,7,7,7,6,7,7,7,7,7,"Somewhat flexible",7,"Male",46,"","2",6.5,6.5,6.5,26,26,26,5,0,0,5
"127","Yes","Yes","Yes",50,0,6,5,5,6,6,5,6,5,6,6,5,5,6,6,5,6,6,6,5,7,6,5,6,5,6,6,6,5,"Somewhat flexible",6,"Female",30,"","1",5.5,5.5,5.5,22,22,22,50,1,1,50
"128","Yes","Yes","Yes",250,0,7,6,4,6,4,7,6,7,7,6,7,6,6,7,7,5,5,7,6,6,7,5,6,7,7,5,5,6,"Somewhat flexible",7,"Male",42,"","1",6.75,5,5,27,20,20,250,0,0,250
"129","Yes","Yes","Yes",0,100,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Somewhat flexible",0,"Male",48,"","2",7,4,4,28,16,16,100,0,0,100
"130","Yes","Yes","Yes",0,50,5,4,4,4,6,3,3,4,6,4,6,4,4,5,2,5,2,2,3,4,4,5,4,2,5,3,2,2,"Somewhat flexible",3,"Female",32,"","2",4,4.5,4.5,16,18,18,50,1,1,50
"131","Yes","Yes","Yes",20,0,2,5,5,6,6,2,2,1,2,3,6,5,6,7,6,6,4,1,2,7,6,5,6,5,7,5,2,6,"Somewhat flexible",5,"Male",36,"","1",1.75,5.5,5.5,7,22,22,20,0,0,20
"132","Yes","Yes","Yes",5,0,7,5,6,6,7,5,6,6,7,7,7,6,6,7,6,7,5,6,5,6,7,6,7,7,6,7,6,5,"Somewhat flexible",7,"Male",40,"","1",6,6,6,24,24,24,5,0,0,5
"134","Yes","Yes","Yes",150,0,5,6,5,6,5,6,6,6,7,6,6,6,5,5,6,5,6,6,5,7,7,6,7,6,5,6,6,6,"Somewhat flexible",5,"Male",25,"","1",6.25,5.5,5.5,25,22,22,150,0,0,150
"136","Yes","Yes","Yes",100,0,5,4,4,6,4,4,4,5,5,5,4,3,2,3,4,3,3,4,3,4,6,4,6,5,4,5,4,4,"Somewhat flexible",5,"Male",27,"","1",4.5,4.5,4.5,18,18,18,100,0,0,100
"137","Yes","Yes","Yes",500,0,6,6,5,7,6,7,5,6,6,7,6,7,5,7,7,6,6,7,5,7,5,5,6,5,7,6,7,6,"Somewhat flexible",7,"Male",29,"","1",6,6,6,24,24,24,500,0,0,500
"138","Yes","Yes","Yes",0,100,7,7,7,7,7,3,5,7,7,1,7,1,1,1,1,1,1,6,7,3,1,1,1,1,1,1,7,7,"Somewhat flexible",0,"Male",37,"","2",5.5,7,7,22,28,28,100,0,0,100
"140","Yes","Yes","Yes",0,3,3,5,6,5,2,5,7,7,1,5,1,4,5,2,4,7,3,1,2,2,4,6,7,4,6,3,3,6,"Somewhat flexible",5,"Male",43,"","2",5,4.5,4.5,20,18,18,3,0,0,3
"141","Yes","Yes","Yes",0,40,5,4,6,4,5,6,5,4,4,4,5,4,5,4,5,4,6,5,6,5,5,6,6,4,6,6,6,5,"Somewhat flexible",5,"Male",33,"","2",4.75,4.75,4.75,19,19,19,40,0,0,40
"142","Yes","Yes","Yes",0,5,4,3,3,5,5,3,3,5,5,4,4,5,6,4,5,4,6,4,3,6,6,7,4,4,5,6,5,5,"Somewhat flexible",4,"Female",30,"","2",4,4,4,16,16,16,5,1,1,5
"143","Yes","Yes","Yes",0,5,6,6,7,6,6,7,6,7,6,6,6,7,7,7,6,6,6,6,7,7,6,7,6,7,7,6,7,6,"Somewhat flexible",6,"Male",25,"","2",6.5,6.25,6.25,26,25,25,5,0,0,5
"144","Yes","Yes","Yes",450,0,2,3,5,6,6,3,6,4,6,6,7,7,6,2,2,4,4,7,7,7,2,6,5,2,4,4,7,6,"Somewhat flexible",5,"Male",25,"","1",4.75,5,5,19,20,20,450,0,0,450
"145","Yes","Yes","Yes",200,0,5,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Somewhat flexible",3,"Male",42,"","1",1,1,1,4,4,4,200,0,0,200
"146","Yes","Yes","Yes",0,5,2,6,5,4,4,4,5,5,6,3,5,5,4,3,5,3,4,2,6,3,4,6,5,5,4,5,4,4,"Somewhat flexible",4,"Male",40,"","2",5,4.75,4.75,20,19,19,5,0,0,5
"147","Yes","Yes","Yes",12,0,4,3,4,1,6,3,4,6,2,4,5,2,4,2,4,3,3,6,2,4,1,5,2,3,3,1,4,5,"Somewhat flexible",3,"Male",36,"","1",3.75,3.5,3.5,15,14,14,12,0,0,12
"148","Yes","Yes","Yes",0,5,5,6,5,7,6,5,5,5,6,5,5,5,7,6,6,6,6,7,6,6,6,6,7,5,5,7,7,6,"Somewhat flexible",6,"Male",63,"","2",5.25,6,6,21,24,24,5,0,0,5
"149","Yes","Yes","Yes",0,260,6,7,6,5,6,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,"Somewhat flexible",6,"Male",58,"","2",5.75,6,6,23,24,24,260,0,0,260
"150","Yes","Yes","Yes",0,10,1,6,7,7,4,6,7,7,5,7,5,6,6,7,7,6,6,7,5,6,5,5,7,5,7,6,7,6,"Somewhat flexible",7,"Male",49,"","2",6.25,6,6,25,24,24,10,0,0,10
"151","Yes","Yes","Yes",0,90,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Somewhat flexible",7,"Female",25,"","2",7,7,7,28,28,28,90,1,1,90
"152","Yes","Yes","Yes",30,0,1,4,3,4,3,4,3,2,2,4,4,4,3,4,4,3,4,4,3,4,3,3,4,3,4,3,3,3,"Somewhat flexible",3,"Male",36,"","1",2.75,3.5,3.5,11,14,14,30,0,0,30
"154","Yes","Yes","Yes",0,5,5,5,5,6,5,5,5,5,2,7,6,6,5,6,6,6,7,6,6,6,6,2,7,6,7,7,6,7,"Somewhat flexible",4,"Male",30,"","2",4.25,5.25,5.25,17,21,21,5,0,0,5
"155","Yes","Yes","Yes",0,150,6,7,7,6,6,5,5,6,6,3,4,5,5,2,1,3,2,4,4,2,4,4,2,1,3,2,4,4,"Somewhat flexible",2,"Male",19,"","2",5.5,6.5,6.5,22,26,26,150,0,0,150
"156","Yes","Yes","Yes",0,45,6,4,5,4,3,4,7,6,7,5,5,7,7,7,7,6,6,6,5,5,4,4,5,4,3,4,5,5,"Somewhat flexible",5,"Male",28,"","2",6,4,4,24,16,16,45,0,0,45
"157","Yes","Yes","Yes",100,0,5,6,6,5,5,6,7,5,6,5,6,6,6,6,6,7,7,7,7,7,6,6,5,6,5,7,7,7,"Somewhat flexible",5,"Male",36,"","1",6,5.5,5.5,24,22,22,100,0,0,100
"158","Yes","Yes","Yes",75,0,2,5,5,6,5,6,6,5,4,3,7,7,6,6,5,7,2,4,6,6,6,7,7,5,6,3,3,6,"Somewhat flexible",5,"Female",27,"","1",5.25,5.25,5.25,21,21,21,75,1,1,75
"159","Yes","Yes","Yes",0,5,7,6,6,6,6,2,2,4,4,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Somewhat flexible",7,"Male",35,"","2",3,6,6,12,24,24,5,0,0,5
"160","Yes","Yes","Yes",5,0,7,4,6,7,7,6,5,7,5,6,7,7,6,6,4,5,7,4,4,7,7,5,4,6,4,7,7,5,"Somewhat flexible",7,"Male",49,"","1",5.75,6,6,23,24,24,5,0,0,5
"161","Yes","Yes","Yes",100,0,3,5,6,4,5,4,4,4,5,6,6,6,4,6,5,5,4,5,5,5,4,6,5,4,4,5,4,5,"Somewhat flexible",5,"Female",41,"","1",4.25,5,5,17,20,20,100,1,1,100
"162","Yes","Yes","Yes",300,0,6,7,7,5,6,6,6,5,7,5,6,7,6,5,5,4,7,7,5,5,4,7,5,6,7,3,7,6,"Somewhat flexible",6,"Male",45,"","1",6,6.25,6.25,24,25,25,300,0,0,300
"163","Yes","Yes","Yes",50,0,5,4,5,4,3,5,3,4,3,4,3,5,4,5,4,5,4,5,5,6,6,5,4,5,4,5,5,4,"Somewhat flexible",5,"Male",47,"","1",3.75,4,4,15,16,16,50,0,0,50
"164","Yes","Yes","Yes",0,50,7,7,6,6,7,6,6,7,7,7,6,7,6,7,6,7,6,7,7,7,7,7,7,6,7,6,6,6,"Somewhat flexible",7,"Female",42,"","2",6.5,6.5,6.5,26,26,26,50,1,1,50
"165","Yes","Yes","Yes",500,0,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Somewhat flexible",6,"Male",63,"","1",6,6,6,24,24,24,500,0,0,500
"166","Yes","Yes","Yes",0,100,6,5,6,6,5,6,6,6,7,6,7,7,6,6,7,7,7,6,7,5,6,5,6,6,6,6,5,5,"Somewhat flexible",6,"Male",25,"","2",6.25,5.5,5.5,25,22,22,100,0,0,100
"167","Yes","Yes","Yes",0,100,6,6,6,5,7,6,5,7,6,6,5,6,6,5,7,6,6,7,6,6,5,5,7,6,7,6,7,6,"Somewhat flexible",6,"Male",40,"","2",6,6,6,24,24,24,100,0,0,100
"168","Yes","Yes","Yes",100,0,7,7,7,7,7,3,7,7,7,3,1,1,1,1,1,1,1,7,7,3,1,1,1,1,1,1,7,7,"Somewhat flexible",0,"Male",37,"","1",6,7,7,24,28,28,100,0,0,100
"169","Yes","Yes","Yes",40,0,1,7,6,6,5,6,7,7,6,6,7,7,6,7,6,6,4,4,7,7,7,6,6,6,5,4,4,7,"Somewhat flexible",6,"Male",58,"","1",6.5,6,6,26,24,24,40,0,0,40
"170","Yes","Yes","Yes",5,0,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,4,4,4,3,3,4,1,4,3,3,3,"Somewhat flexible",4,"Male",35,"","1",4,4.25,4.25,16,17,17,5,0,0,5
"171","Yes","Yes","Yes",50,0,7,7,5,7,6,6,5,6,7,7,6,6,6,7,7,6,5,6,5,5,7,6,5,7,6,6,6,7,"Somewhat flexible",7,"Male",37,"","1",6,6.25,6.25,24,25,25,50,0,0,50
"172","Yes","Yes","Yes",100,0,5,5,5,6,6,6,5,4,5,6,6,6,7,7,3,7,6,6,6,7,7,6,7,2,7,6,6,7,"Somewhat flexible",6,"Male",28,"","1",5,5.5,5.5,20,22,22,100,0,0,100
"173","Yes","Yes","Yes",100,0,3,5,5,4,5,5,6,4,5,6,7,5,6,5,7,7,5,7,7,7,3,7,4,6,6,5,7,7,"Somewhat flexible",4,"Female",25,"","1",5,4.75,4.75,20,19,19,100,1,1,100
"174","Yes","Yes","Yes",0,25,1,6,5,5,4,6,4,3,3,5,7,7,6,7,1,6,1,7,1,7,7,7,7,2,7,2,2,1,"Somewhat flexible",5,"Female",32,"","2",4,5,5,16,20,20,25,1,1,25
"175","Yes","Yes","Yes",0,500,6,7,6,5,6,6,5,7,6,6,5,6,7,6,7,5,5,6,6,6,6,7,6,5,7,7,5,6,"Somewhat flexible",6,"Male",30,"","2",6,6,6,24,24,24,500,0,0,500
"176","Yes","Yes","Yes",0,50,7,7,6,7,7,7,7,6,6,6,5,7,7,6,5,6,7,7,6,7,7,5,7,6,6,7,6,7,"Somewhat flexible",7,"Male",35,"","2",6.5,6.75,6.75,26,27,27,50,0,0,50
